City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
212,Sabha,LY,84.7,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
215,San Policarpo,PH,84.92,overcast clouds,12.1791,125.5072,JM Lodge
217,Gat,IL,86.4,clear sky,31.61,34.7642,OlusHome
218,Marsh Harbour,BS,75.51,clear sky,26.5412,-77.0636,Abaco Beach Resort
219,Samarai,PG,79.7,overcast clouds,-10.6167,150.6667,Nuli Sapi
222,Marzuq,YE,84.94,scattered clouds,14.4,46.4667,
223,Ocos,GT,83.32,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
227,Wuning,CN,85.95,overcast clouds,29.2589,120.2311,Fu Du Hotel
228,Merauke,ID,81.64,broken clouds,-8.4667,140.3333,
230,Juruti,BR,75.22,scattered clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
232,Shubarshi,KZ,88.97,few clouds,48.5872,57.1869,
233,Tres Picos,MX,80.71,overcast clouds,15.8667,-93.5333,HOTEL TRES PICOS
236,Tolmachevo,RU,79.41,clear sky,54.9824,82.7363,OVB Hostel
241,Namatanai,PG,79.18,moderate rain,-3.6667,152.4333,Namatanai Hotel
243,Kieta,PG,80.4,light rain,-6.2167,155.6333,Uruna Bay Retreat
246,Biltine,TD,88.61,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
253,Bilma,NE,85.03,clear sky,18.6853,12.9164,Expeditions Ténére voyages
255,Tual,ID,82.42,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
256,Aitape,PG,83.3,broken clouds,-3.1374,142.3475,
258,Akyab,MM,88.02,overcast clouds,20.15,92.9,Hotel Memory
260,Spring Hill,US,76.82,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
262,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
263,Waingapu,ID,85.66,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
264,Leninskoye,KZ,87.73,overcast clouds,41.7589,69.3864,
267,Poros,GR,85.57,clear sky,37.4994,23.4536,New Aegli Resort Hotel 4 stars
270,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
279,Bellmead,US,77.07,overcast clouds,31.594,-97.1089,Hampton Inn Waco
281,Faanui,PF,81.18,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
290,Abu Samrah,SY,79.65,clear sky,35.3029,37.1841,
294,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
295,Djenne,ML,88.02,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
301,Sorong,ID,80.1,overcast clouds,-0.8833,131.25,waigo splash hotel
309,Kirakira,SB,79.93,moderate rain,-10.4544,161.9205,SanBiz Lodge
312,Dengzhou,CN,78.31,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
314,Warri,NG,77.2,overcast clouds,5.5167,5.75,BON Hotel Delta
315,Korla,CN,87.73,clear sky,41.7597,86.1469,Gulisitan Hotel
316,Lengshuijiang,CN,81.45,broken clouds,27.6881,111.4294,Sheraton
317,Farah,AF,89.06,clear sky,32.5,62.5,
318,South Daytona,US,75.99,scattered clouds,29.1658,-81.0045,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
323,Balkanabat,TM,82.35,overcast clouds,39.5108,54.3671,Nebitchi Hotel
329,Aksu,CN,84.27,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
331,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
335,Meulaboh,ID,86.83,broken clouds,4.1363,96.1285,Kost Pria
338,Gizo,SB,81.5,moderate rain,-8.103,156.8419,Imagination Island
339,Hoa Binh,VN,89.49,broken clouds,20.8133,105.3383,Hoa Dao Hotel
345,Kilinochchi,LK,84.7,overcast clouds,9.3961,80.3982,Solaivanam Guest House
347,The Valley,AI,80.46,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
352,Tura,IN,81.57,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
354,Abu Kamal,SY,86.85,clear sky,34.4506,40.9171,محطة التلفاز
355,Ternate,ID,84.78,scattered clouds,0.8,127.4,Grand Dafam Bela Ternate
357,Dourbali,TD,87.62,overcast clouds,11.8091,15.8632,
358,Hobyo,SO,82.15,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
361,Boende,CD,77.09,scattered clouds,-0.2167,20.8667,
362,Oyama,JP,79.03,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
363,Katherine,AU,89.92,clear sky,-14.4667,132.2667,Pine Tree Motel
365,Najran,SA,88.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
366,Ambilobe,MG,79.39,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
371,Mackay,AU,78.67,scattered clouds,-21.15,149.2,International Lodge Motel
372,Adana,TR,82.92,clear sky,36.985,35.2881,Güney Adana Otel
375,Oranjestad,AW,80.91,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
376,Sao Jose Da Coroa Grande,BR,76.53,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
378,Garoua,CM,85.66,broken clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
379,Ndele,CF,80.56,overcast clouds,8.4109,20.6473,
388,Baon,PH,87.75,overcast clouds,6.7956,126.0878,SILENT BEACH RESORT
390,Semnan,IR,78.53,scattered clouds,35.5729,53.3971,Semnan Tourist Hotel
391,Sambava,MG,76.19,few clouds,-14.2667,50.1667,Melrose
393,Nuevo Laredo,MX,82.67,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
396,Yumen,CN,81.79,clear sky,40.2833,97.2,
400,Lafia,NG,78.6,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
402,Kanniyakumari,IN,78.19,moderate rain,8.0833,77.5667,Sparsa
406,Pitimbu,BR,75.79,clear sky,-7.4706,-34.8086,Reserva do Abiaí
421,Jiexiu,CN,78.76,scattered clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
425,Marovoay,MG,75.34,few clouds,-16.1,46.6333,
426,Arlit,NE,88.29,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
428,Antalaha,MG,77.68,clear sky,-14.9003,50.2788,Hotel Vitasoa
430,Tiarei,PF,80.01,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
431,Grand Gaube,MU,79.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
432,Gbadolite,CD,75.61,broken clouds,4.2833,21.0167,Zenic
434,Jega,NG,83.84,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
441,Riyadh,SA,89.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
444,Dhidhdhoo,MV,81.37,overcast clouds,6.8833,73.1,Dhidhoo beach
447,Zavodoukovsk,RU,78.21,scattered clouds,56.5042,66.5515,"Ochag, Gostinitsa"
451,Maragogi,BR,76.51,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
453,Bundaberg,AU,75.49,clear sky,-24.85,152.35,Takalvan Motel
455,Lengshuitan,CN,89.89,overcast clouds,26.4111,111.5956,Jialong Hotel
456,Lenger,KZ,81.84,overcast clouds,42.183,69.8839,Gostevoy Dom 1
457,Sungaipenuh,ID,77.67,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
462,Bongandanga,CD,75.02,broken clouds,1.5,21.05,
463,Shimoda,JP,77.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
464,Denpasar,ID,85.66,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
465,Byron Bay,AU,76.89,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
467,Waddan,LY,79.74,clear sky,29.1614,16.139,محل الشريف محمد العايب
468,Palatka,US,75.97,broken clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
472,Kloulklubed,PW,81.1,moderate rain,7.0419,134.2556,Storyboard Beach Resort
473,Soyo,AO,77.05,overcast clouds,-6.1349,12.3689,Hotel Mpampa
475,Ciudad Bolivar,VE,78.87,broken clouds,8.1222,-63.5497,Hotel Edi
476,Maningrida,AU,83.75,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
480,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
484,Yambio,SS,75.6,broken clouds,4.5721,28.3955,Naivasha Hotel
487,Chateaubelair,VC,79.41,scattered clouds,13.2833,-61.25,Richmond Vale Diving & Hiking Center
490,Bodden Town,KY,80.92,clear sky,19.2833,-81.25,Will T Place
493,Port-Gentil,GA,80.56,light rain,-0.7193,8.7815,Fengshui Residence
497,Benghazi,LY,75.18,clear sky,32.1167,20.0667,Tibesti Hotel
498,Yorosso,ML,84.94,overcast clouds,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
502,Umm Kaddadah,SD,88.61,broken clouds,13.6017,26.6876,
505,Tagusao,PH,85.96,few clouds,9.1924,117.8141,Toledo
506,Atar,MR,78.24,few clouds,20.5169,-13.0499,Oumou Elghoura
508,Papetoai,PF,79.56,broken clouds,-17.4961,-149.8729,Fare Vaihere
509,Bowen,AU,79.02,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
510,Axim,GH,78.8,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
511,Takoradi,GH,78.73,overcast clouds,4.8845,-1.7554,Raybow International Hotel
514,Kavaratti,IN,83.55,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
516,Hovd,MN,75.81,scattered clouds,48.0056,91.6419,Hotel Khovd
519,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
527,Rantauprapat,ID,88.38,light rain,2.1,99.8333,Permata Land Hotel & Resort
528,Seoul,KR,76.51,broken clouds,37.5683,126.9778,Lotte Hotel Seoul
532,Tamandare,BR,75.88,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
535,Birjand,IR,86.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
538,Vung Tau,VN,80.42,overcast clouds,10.345999999999998,107.0843,Green hotel
542,Tambura,SS,76.73,broken clouds,5.6,27.4667,Rikito Lodge
543,Barranco,PA,76.15,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
544,Pokhara,NP,82.4,overcast clouds,28.2333,83.9833,Butterfly Lodge
548,Tucurui,BR,75.52,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
550,Port Blair,IN,85.44,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
557,Nisia Floresta,BR,75.58,few clouds,-6.0911,-35.2086,Rancho Crepusculo
565,Bandarbeyla,SO,86.02,broken clouds,9.4942,50.8122,JABIR HOTEL
569,Ugoofaaru,MV,83.23,overcast clouds,5.6667,73.0,Ungoofaaru Inn
574,Mana,GF,77.29,light rain,5.6592,-53.7767,LE SAMANA
575,Bayonet Point,US,76.95,overcast clouds,28.3267,-82.6834,Homewood Suites by Hilton Tampa-Port Richey
580,Karaton,ID,87.96,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
586,Lorengau,PG,79.52,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
587,Sulangan,PH,84.18,overcast clouds,11.1373,123.7228,Maia's Beach Resort
590,Samarinda,ID,85.19,overcast clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
592,Carutapera,BR,76.28,broken clouds,-1.195,-46.02,Lidera
593,Kartaly,RU,80.46,broken clouds,53.0522,60.6467,Gostinitsa Lyuks
596,Balykshi,KZ,82.4,clear sky,47.0667,51.8667,Гостиница Golden Rose
598,Rockport,US,80.85,overcast clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
601,Simao,CN,81.91,overcast clouds,22.7886,100.9748,Changyu Hotel
606,Taybad,IR,89.55,scattered clouds,34.74,60.7756,لی پوش jean center
609,Changping,CN,84.51,light rain,40.2186,116.2197,Huachang Hotel
611,Jacmel,HT,78.64,clear sky,18.2342,-72.5347,Hotel Florita
613,Yabassi,CM,76.64,overcast clouds,4.457,9.9682,MOTEL FOMI
614,Mantalongon,PH,78.94,light rain,9.8106,123.4617,Private Ranch
616,Dunmore Town,BS,76.01,clear sky,25.5,-76.65,Coral Sands Hotel
617,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
620,Suluq,LY,80.51,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
627,Kudahuvadhoo,MV,84.43,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
631,Kidal,ML,89.47,broken clouds,18.4411,1.4078,
633,Marana,US,84.74,clear sky,32.4367,-111.2254,Valley of the Sun Mobile Home & RV Park
637,Along,IN,77.76,overcast clouds,28.1667,94.7667,Hotel West
639,Jacqueville,CI,78.71,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
640,Onguday,RU,78.15,clear sky,50.75,86.15,"Gostinitsa ""Motel'"""
642,Gamba,GA,77.49,broken clouds,-2.65,10.0,
645,Buraydah,SA,84.65,clear sky,26.326,43.975,فندق راحة السلام
649,Mogadishu,SO,80.47,scattered clouds,2.0371,45.3438,Hotel Juba
650,Thinadhoo,MV,84.11,overcast clouds,0.5333,72.9333,
660,Houma,US,75.2,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
665,Gigmoto,PH,87.08,broken clouds,13.7796,124.39,Cj's Travellers Inn
668,Kousseri,CM,78.76,overcast clouds,12.0769,15.0306,Le Pilotis
669,Panacan,PH,89.71,scattered clouds,9.2463,118.4082,Mom's Place Resort
670,Eyl,SO,84.69,scattered clouds,7.9803,49.8164,Amiin Hotel
678,Muli,MV,84.33,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
684,Progreso,MX,80.71,broken clouds,21.2833,-89.6667,Playa Linda Hotel
689,Avera,US,77.72,broken clouds,33.194,-82.5271,
693,San,ML,88.27,overcast clouds,13.3034,-4.8956,Hôtel Teriya
694,Houston,US,77.99,overcast clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
697,Muisne,EC,76.66,overcast clouds,0.6,-80.0333,Quinta Samay
700,Lahaina,US,78.8,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
707,Tautira,PF,80.01,scattered clouds,-17.7333,-149.15,Pension Oaoa
708,Katobu,ID,83.71,light rain,-4.9408,122.5276,La Ode Husein
709,Bambanglipuro,ID,87.08,few clouds,-7.95,110.2833,Puri Brata
710,Butterworth,MY,89.65,few clouds,5.3991,100.3638,Cititel Penang
713,Obo,CF,75.97,broken clouds,5.3998,26.4869,
