City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Henties Bay,NA,2021-05-14 19:38:33,-22.116,14.2845,69.06,53,0,7.2
68,Atuona,PF,2021-05-14 19:38:33,-9.8,-139.0333,79.93,73,49,19.39
69,Carnarvon,AU,2021-05-14 19:38:33,-24.8667,113.6333,64.4,88,1,6.91
70,Presidencia Roque Saenz Pena,AR,2021-05-14 19:38:34,-26.7852,-60.4388,72.0,68,0,3.0
71,Yellowknife,CA,2021-05-14 19:37:42,62.456,-114.3525,27.0,74,90,8.05
72,Kahului,US,2021-05-14 19:37:57,20.8947,-156.47,75.2,73,20,12.66
73,Yar-Sale,RU,2021-05-14 19:38:34,66.8333,70.8333,31.19,79,100,8.46
74,Mahebourg,MU,2021-05-14 19:38:35,-20.4081,57.7,77.0,73,40,14.97
75,Dikson,RU,2021-05-14 19:38:35,73.5069,80.5464,21.76,71,100,15.97
76,Ilulissat,GL,2021-05-14 19:38:35,69.2167,-51.1,39.2,52,75,4.61
77,Bluff,NZ,2021-05-14 19:38:36,-46.6,168.3333,48.99,79,99,15.99
78,Saint-Philippe,RE,2021-05-14 19:38:36,-21.3585,55.7679,75.2,68,0,8.05
79,San-Pedro,CI,2021-05-14 19:38:36,4.7485,-6.6363,81.84,79,17,8.66
80,Longyearbyen,SJ,2021-05-14 19:38:37,78.2186,15.6401,26.6,63,75,10.36
81,Juneau,US,2021-05-14 19:38:37,58.3019,-134.4197,44.6,81,90,16.11
82,Klaksvik,FO,2021-05-14 19:38:37,62.2266,-6.589,41.0,81,75,10.36
83,San Carlos De Bariloche,AR,2021-05-14 19:36:26,-41.1456,-71.3082,57.2,58,40,20.71
84,Qurayyat,SA,2021-05-14 19:38:38,31.3318,37.3428,78.8,29,0,23.02
85,Nikolskoye,RU,2021-05-14 19:38:38,59.7035,30.7861,62.6,55,0,6.71
86,Acopiara,BR,2021-05-14 19:38:39,-6.0953,-39.4525,74.73,92,98,3.67
87,Hambantota,LK,2021-05-14 19:38:39,6.1241,81.1185,82.4,78,40,18.41
88,Asau,RO,2021-05-14 19:38:39,46.4333,26.4,51.01,55,94,5.17
89,Port Alfred,ZA,2021-05-14 19:38:40,-33.5906,26.891,72.59,40,69,10.65
90,Castro,BR,2021-05-14 19:38:40,-24.7911,-50.0119,59.88,73,100,2.17
91,Puerto Escondido,MX,2021-05-14 19:38:40,15.85,-97.0667,87.8,66,75,9.22
92,Stavern,NO,2021-05-14 19:38:41,59.0,10.0333,60.8,72,0,11.5
93,Tuktoyaktuk,CA,2021-05-14 19:38:41,69.4541,-133.0374,30.2,80,75,17.27
94,Santana Do Livramento,BR,2021-05-14 19:38:41,-30.8908,-55.5328,62.46,55,0,4.09
95,High Level,CA,2021-05-14 19:38:42,58.5169,-117.136,55.4,62,75,9.22
96,Victoria,HK,2021-05-14 19:38:42,22.2855,114.1577,84.0,81,0,7.45
97,Tambura,SS,2021-05-14 19:38:42,5.6,27.4667,69.3,94,90,3.15
98,Valdosta,US,2021-05-14 19:38:43,30.8327,-83.2785,78.8,34,1,8.05
99,Kande,TG,2021-05-14 19:38:43,9.9578,1.0447,91.4,43,20,5.75
100,Norman Wells,CA,2021-05-14 19:38:43,65.282,-126.8329,42.8,61,90,18.41
101,Fort Nelson,CA,2021-05-14 19:38:44,58.8053,-122.7002,57.2,54,75,4.61
102,Crotone,IT,2021-05-14 19:38:44,39.0851,17.1178,57.0,87,68,4.0
103,Tiksi,RU,2021-05-14 19:38:44,71.6872,128.8694,32.83,95,100,6.62
104,Nerchinskiy Zavod,RU,2021-05-14 19:38:45,51.3088,119.61,39.36,86,98,10.04
105,Airai,TL,2021-05-14 19:38:45,-8.9266,125.4092,55.69,80,100,3.4
106,Faanui,PF,2021-05-14 19:38:45,-16.4833,-151.75,81.21,78,100,20.0
107,Coos Bay,US,2021-05-14 19:38:46,43.3665,-124.2179,55.0,87,90,19.57
108,Qaanaaq,GL,2021-05-14 19:38:46,77.484,-69.3632,33.93,79,94,9.53
