City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Tanah Merah,MY,5.8,102.15,85.86,60,100,0.78,overcast clouds
160,Puerto Carreno,CO,6.189,-67.4859,75.87,92,91,5.32,overcast clouds
161,Taoudenni,ML,22.6783,-3.9836,93.54,20,100,16.8,overcast clouds
162,Disna,BY,55.568,28.1971,56.75,94,100,17.13,moderate rain
163,Kaitangata,NZ,-46.2817,169.8464,42.93,60,54,2.91,broken clouds
164,Vilsbiburg,DE,48.45,12.35,51.48,80,86,1.99,overcast clouds
165,East London,ZA,-33.0153,27.9116,61.74,94,20,8.05,few clouds
166,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.06,89,13,1.05,few clouds
167,Sorland,NO,67.667,12.6934,44.67,75,0,19.28,clear sky
168,Turayf,SA,31.6725,38.6637,79.05,36,0,6.91,clear sky
169,Lompoc,US,34.6391,-120.4579,66.09,83,90,11.5,overcast clouds
170,Saint George,US,37.1041,-113.5841,79.39,15,1,8.05,clear sky
171,Eregli,TR,37.5133,34.0467,71.51,28,0,2.17,clear sky
172,Minot,US,48.2325,-101.2963,46.62,71,90,13.8,overcast clouds
173,Mufulira,ZM,-12.5498,28.2407,56.98,59,2,5.44,clear sky
174,Killarney,IE,52.05,-9.5167,46.33,90,100,2.53,overcast clouds
175,Ostrovnoy,RU,68.0531,39.5131,37.38,60,17,6.06,few clouds
176,Dandong,CN,40.1292,124.3947,62.91,74,99,16.37,overcast clouds
177,San Patricio,US,28.017,-97.5169,80.69,92,21,9.33,few clouds
178,Dikson,RU,73.5069,80.5464,28.27,78,28,11.65,scattered clouds
179,Bayan,CN,46.0833,127.4,69.6,19,48,10.33,scattered clouds
180,Haicheng,CN,40.8516,122.7475,65.05,64,100,7.34,overcast clouds
181,Nikolskoye,RU,59.7035,30.7861,52.39,71,96,9.71,light rain
182,Aliman,RO,44.1833,27.85,69.08,62,99,7.85,overcast clouds
183,Hithadhoo,MV,-0.6,73.0833,83.89,69,100,19.73,overcast clouds
184,Saquarema,BR,-22.92,-42.5103,62.08,80,59,5.55,broken clouds
185,Lyngdal,NO,58.1376,7.07,54.0,77,100,18.95,overcast clouds
186,Pasni,PK,25.2631,63.471,88.84,70,2,10.78,clear sky
187,Luderitz,NA,-26.6481,15.1594,61.05,68,0,8.61,clear sky
